,text,label,Emotions,Emotions_Label,cluster
25,uttar pradesh registers record covid deaths toll rises to fresh cases push states infection co... ,,"[{'label': 'neutral', 'score': 0.9457494020462036}]",neutral,0
26,who cdc different guidelines cdc dr fauci not yet changed it is same fully vaccinated do not need to wear mask outdoors and indoor settings,vaccination,"[{'label': 'neutral', 'score': 0.888079047203064}]",neutral,1
27,go home you are drunk i generally advocate on behalf but cmon you all ,vaccination,"[{'label': 'neutral', 'score': 0.9709449410438538}]",neutral,0
28,who in contact with russia on worlds first covid vaccine ,vaccination,"[{'label': 'neutral', 'score': 0.9931167364120483}]",neutral,0
29,dr francis collins director of the nih in testimony on the search for a science is the way this... ,vaccination,"[{'label': 'neutral', 'score': 0.997772753238678}]",neutral,1
30, i have a conflict i receive funding to conduct reviews of opioids ill be recusing myself after the directors update ,vaccination,"[{'label': 'neutral', 'score': 0.8395217657089233}]",neutral,0
31,people taking that covid vaccine and then months later the blm protests gonna look... ,vaccination,"[{'label': 'neutral', 'score': 0.9954708814620972}]",neutral,0
32,well done russia and mr putin you are hope of millions of lives that could saved from now till th... ,vaccination,"[{'label': 'admiration', 'score': 0.7771673798561096}]",admiration,0
33,doctor warns the people on ,vaccination,"[{'label': 'neutral', 'score': 0.9882351160049438}]",neutral,0
34,a watershed moment in vaccine manufacture insightful commentary from ,vaccination,"[{'label': 'curiosity', 'score': 0.9303272366523743}]",curiosity,0
35,or he is not vaccinated and following cdc guidelines as he should but you do not have to wear one because you got the jab ,vaccination,"[{'label': 'neutral', 'score': 0.8643037676811218}]",neutral,1
36,read up on the cdc website for guidelines and recommendations i think youre ok to go,masking and distancing,"[{'label': 'caring', 'score': 0.8587087988853455}]",caring,0
37,putin ahead of the curve ,vaccination,"[{'label': 'neutral', 'score': 0.989048182964325}]",neutral,0
38, scores over need to wait for effec... ,vaccination,"[{'label': 'neutral', 'score': 0.9740449786186218}]",neutral,0
39,i wouldnt take a vaccine from any of them until at least next year ,vaccination,"[{'label': 'optimism', 'score': 0.9554598927497864}]",optimism,0
40,wondering when a will be available heres where the research stands amp what the future might hold... ,vaccination,"[{'label': 'curiosity', 'score': 0.99713134765625}]",curiosity,0
41,please read and retweet this medical advice which gets more and more relevant each day as trump keeps lying to... ,vaccination,"[{'label': 'neutral', 'score': 0.8821771144866943}]",neutral,0
42,"hcw seem to be perfect human trial subjects for vaccines
by knowing a certain cohort will regularly aquire disease... ",vaccination,"[{'label': 'neutral', 'score': 0.6491691470146179}]",neutral,0
43,new covid school guidelines: cdc says vaccinated teachers students do not need to wear masks in schools ,masking and distancing,"[{'label': 'neutral', 'score': 0.9961487054824829}]",neutral,0
44,we will adhere to thencurrent cdc guidelines vaccinated people are free to unmask but not vaccinated people will be required to,masking and distancing,"[{'label': 'approval', 'score': 0.9887856245040894}]",approval,1
45,there are already states that have banned mask mandates in schools cdc guidelines are not mandatory state directives override them,masking and distancing,"[{'label': 'disapproval', 'score': 0.5649749040603638}]",disapproval,0
46, russia stateaffiliated ,vaccination,"[{'label': 'neutral', 'score': 0.9819281101226807}]",neutral,0
47,according to dallas co texas is at high risk these are the covid guidelines set by the cdc: ,masking and distancing,"[{'label': 'neutral', 'score': 0.9886246919631958}]",neutral,1
48,is this true ,vaccination,"[{'label': 'neutral', 'score': 0.703776478767395}]",neutral,0
49,yes i followed the cdc guidelines and still got it i am still baffled as to where/how i could have picked it up,masking and distancing,"[{'label': 'confusion', 'score': 0.9952821135520935}]",confusion,1
50,my job was testing for covid hours a week i did it from jan the first week of june as more ppl got vaxed amp cdc guidelines changed i noticed that from end of april through end of my contract in june the only ppl testing pos+ were symptomatic fully vaxed ppl wear a mask,vaccination,"[{'label': 'realization', 'score': 0.9870795607566833}]",realization,1
51,the war on drugs started in by president nixon was a lie now years have passed with billions of dollars spent to no avail illegal drugs are the enemy not our doctors suspend cdc guidelines ,vaccination,"[{'label': 'realization', 'score': 0.8923260569572449}]",realization,1
52, lets hope this works russia ,vaccination,"[{'label': 'optimism', 'score': 0.9889734387397766}]",optimism,0
53,whaat is that true will our bodies be controlled by external forces through this i heard abt this... ,vaccination,"[{'label': 'confusion', 'score': 0.38090619444847107}]",confusion,0
54,vaccines cannot be given to youngsters unless they have been tested in their age group ,vaccination,"[{'label': 'neutral', 'score': 0.8698134422302246}]",neutral,0
55,not everybody will have the same chance to be immunised a recent report says that wealthy nations representing jus... ,vaccination,"[{'label': 'neutral', 'score': 0.9294058680534363}]",neutral,0
56,we are revisiting company pharmaceuticals thats leading the way with a antibody cockta... ,vaccination,"[{'label': 'neutral', 'score': 0.9938147068023682}]",neutral,0
57,this article from the same source highlights some of the challenge with the cdc guidelines: ,masking and distancing,"[{'label': 'neutral', 'score': 0.8574648499488831}]",neutral,1
58,such a great example of leadership did not even bother to apply the on his daughter ,vaccination,"[{'label': 'admiration', 'score': 0.9940022826194763}]",admiration,0
59,or you could do a simple google search for cdc guidelines on children and not embarrass the rest of us image bearers of god,masking and distancing,"[{'label': 'neutral', 'score': 0.9862411022186279}]",neutral,1
60,people who are fully vaccinated can travel within the us according to updated cdc guidelines announced on friday ,vaccination,"[{'label': 'approval', 'score': 0.7401679754257202}]",approval,0
61, from masks when is this happening ,masking and distancing,"[{'label': 'curiosity', 'score': 0.9855186939239502}]",curiosity,0
62,why is there no news articles on the protests going on in manchester about and the b... ,vaccination,"[{'label': 'curiosity', 'score': 0.9348403811454773}]",curiosity,0
63,this morning for the first time in the world a vaccine against the new coronavirus was registered in russia ru... ,vaccination,"[{'label': 'neutral', 'score': 0.8163882493972778}]",neutral,0
64,yes cdc shouldnt have changed mask guidelines until every age group was vaccinated,masking and distancing,"[{'label': 'realization', 'score': 0.993240475654602}]",realization,0
65,that was my point the cdc guidelines are clear ban for dogs entry to the us you did not let me travel with cats to colombia so whats your point i want my money back ,masking and distancing,"[{'label': 'annoyance', 'score': 0.48968571424484253}]",annoyance,1
66, to all those that claim genetic drift of will not matter much: in $mrna pseudovirus neutraliz... ,vaccination,"[{'label': 'neutral', 'score': 0.9472218155860901}]",neutral,0
67,trump administration has said that it will not work with an international cooperative effort to develop and distrib... ,vaccination,"[{'label': 'disapproval', 'score': 0.5491471290588379}]",disapproval,0
68,and the is going to approve and administer the whos running the show there... ,vaccination,"[{'label': 'curiosity', 'score': 0.5714738965034485}]",curiosity,1
69,have to understand how covid affects peeps my b+ brotherin hospital his o+ wifesniffles nada we have to understand this disease it is the catholic thing to do i have o+ blood did cdc guidelines but food shop amp outdoor dine i am still here vino helps,masking and distancing,"[{'label': 'neutral', 'score': 0.9836855530738831}]",neutral,1
70,very disappointed in for not following cdc guidelines and instead following their own guidelines thus not allowing a teen a trip of a lifetime sad to see what theyve become,masking and distancing,"[{'label': 'disappointment', 'score': 0.9827027320861816}]",disappointment,1
71,hahahah i am not defending crowder do you think america is the only country on earth with doctors or cdcs funnily enough most nations on earth have the same guidelines that you do why do you think that is,masking and distancing,"[{'label': 'amusement', 'score': 0.9953272342681885}]",amusement,1
72,what hypocrisy shes following the cdc guidelines for vaccinated individuals that have been in place for months (and technically you dont need to get tested per guidelines if youre asymptomatic and vaccinated) ,vaccination,"[{'label': 'neutral', 'score': 0.47635895013809204}]",neutral,1
73,thief with knife not a doctor with vaccine ,vaccination,"[{'label': 'neutral', 'score': 0.9958022236824036}]",neutral,0
74,there are plenty of people for whom this is absolutely an urgent matter cdc needs to treat it as such hopefully more thoughtful guidelines coming soon,masking and distancing,"[{'label': 'optimism', 'score': 0.9680147767066956}]",optimism,0
75,discussing cdc guidelines as superintendent he follows cdc guidelines and governor directives the plan will be presented ,masking and distancing,"[{'label': 'neutral', 'score': 0.9949843883514404}]",neutral,0
76,the cdc is leaving it up to local officials to set maskwearing guidelines as the highly contagious delta variant spreads in areas with low vaccination rates ,masking and distancing,"[{'label': 'neutral', 'score': 0.7269797325134277}]",neutral,1
77, russias president vladimir putin on tuesday said the country has developed the first coronavirus v... ,vaccination,"[{'label': 'neutral', 'score': 0.9946660995483398}]",neutral,0
78,cdc said it was safe im fully vaccinated amp i follow cdc guidelines been doing so this whole pandemic so no mask ,vaccination,"[{'label': 'approval', 'score': 0.9814374446868896}]",approval,0
79,three texas house democratic lawmakers had been vaccinated against the coronavirus but tested positive over the last hours/ the lawmakers traveled on a private chartered flight and complied with cdc guidelines fortunately there were zero unvaccinated people on their flight,vaccination,"[{'label': 'approval', 'score': 0.9402836561203003}]",approval,1
80,researchers across the us have stepped up efforts towards the development of an effective covid vaccine... ,vaccination,"[{'label': 'approval', 'score': 0.9927069544792175}]",approval,0
81,covid recovered patients protected during massive outbreak on us vessel how long do antibodies last in a covi... ,vaccination,"[{'label': 'neutral', 'score': 0.6134273409843445}]",neutral,0
82,what is to lose sure nov no problem great for the manufacturers: how the law shields drug ma... ,vaccination,"[{'label': 'approval', 'score': 0.6245413422584534}]",approval,0
83,bjp is blackmailing voters with bihar voters should question bjp and their allies why... ,vaccination,"[{'label': 'neutral', 'score': 0.993847668170929}]",neutral,0
84,russia is the first country to approve a vaccine president putin said this russian vaccine works effectively but... ,vaccination,"[{'label': 'neutral', 'score': 0.9593304395675659}]",neutral,0
85,many blue governors were using the cdc guidelines as a shield to tell state residents sorry cdc says we gotta once the cdc lifts that all thats left is the relentless screaming pressure on them to lift mask mandates and reopen fully,masking and distancing,"[{'label': 'neutral', 'score': 0.9944877028465271}]",neutral,1
86,we should not need to go digging to find these things out release your data ,vaccination,"[{'label': 'neutral', 'score': 0.5312989950180054}]",neutral,0
87,"one ethicist warns there are tricky decisions to be made about who is vaccinated first
some experts say a lotter... ",vaccination,"[{'label': 'neutral', 'score': 0.554633617401123}]",neutral,0
88,just when the cdcs usefulness is called into question they give us guidelines to not cuddle with chickens,masking and distancing,"[{'label': 'neutral', 'score': 0.7287833094596863}]",neutral,0
89,its so intrusive nowthey tried to push vaccines on me kept referencing cdc guidelines amp i wasnt having it no to all i thought by this time it wouldve gotten better its worse im sure the hysteria and overkill is pushed by this sham admin so exams amp testing on hold,vaccination,"[{'label': 'disgust', 'score': 0.880897045135498}]",disgust,1
90,im not getting the because of antivaxers or conspiracy theories its because i wont be a guinea... ,vaccination,"[{'label': 'neutral', 'score': 0.8829833269119263}]",neutral,0
91,thats my understanding of the differences in guidance us is further along in the public vaccination process so guidelines from cdc are going to seem riskier or more liberal than from the who because the general population has a lower overall risk because of immunizations,vaccination,"[{'label': 'neutral', 'score': 0.7627967596054077}]",neutral,1
92,how about following the cdc guidelines on community spread why did these get thrown out last school year ,masking and distancing,"[{'label': 'curiosity', 'score': 0.9240599870681763}]",curiosity,0
93,so after a year of follow cdc guidelines now we are saying ...dont follow cdc guidelines now because you personally disagree with the cdc but have no factual evidence based on science to support going against them ... ,masking and distancing,"[{'label': 'curiosity', 'score': 0.2998015880584717}]",curiosity,1
94,pfizer/biontech say jab on track for approval by yearend via ,vaccination,"[{'label': 'excitement', 'score': 0.5933939218521118}]",excitement,0
95,putin ryt now ,vaccination,"[{'label': 'neutral', 'score': 0.9951542615890503}]",neutral,0
96, fully vaccinated teachers and students do not need to wear masks inside school buildings read the cdcs updated guidelines here: ,masking and distancing,"[{'label': 'approval', 'score': 0.7346317172050476}]",approval,0
97,i dont think the gop lost in texas and if a large majority of texans opposed the bill i dont think the gop would have majority power there,,"[{'label': 'disapproval', 'score': 0.8262050151824951}]",disapproval,1
98,at least volunteers from more than nationalities have taken part in first phase iii trials of an... ,vaccination,"[{'label': 'approval', 'score': 0.8261970281600952}]",approval,0
99,russia wants to partner india in covid vaccine production ,vaccination,"[{'label': 'desire', 'score': 0.5955029129981995}]",desire,0
100,russia announces they have a vaccine ,vaccination,"[{'label': 'neutral', 'score': 0.9970731735229492}]",neutral,0
101,the cdcs guidelines were guidelines not laws but of course dumb politicians individual states ran with it well im not sitting by and doing nothing im fighting back and doctors need to do the same and theres still time to get your voice heard,vaccination,"[{'label': 'annoyance', 'score': 0.8544676303863525}]",annoyance,1
102,dont say that you werent warned ,vaccination,"[{'label': 'neutral', 'score': 0.721167802810669}]",neutral,0
103,till date the nation has announced almost instances of the infection of which upwards of individuals... ,,"[{'label': 'neutral', 'score': 0.7677180767059326}]",neutral,0
104,we need to rapidly scale up our clinical trials manufacturing licensing and regulation capacity ,vaccination,"[{'label': 'neutral', 'score': 0.9425097107887268}]",neutral,0
105,the reason being is the soon to be dropped and even more horrible expanded cdc guidelines imho,masking and distancing,"[{'label': 'annoyance', 'score': 0.5948342084884644}]",annoyance,1
106,cdc states you no longer need a mask if vaccinated i get allot of people arent but if you are according to the data and scientists you no longer need to mask up if it helps you feel safer then by all means continue but its no longer a requirement set forth by cdc guidelines,masking and distancing,"[{'label': 'neutral', 'score': 0.8018732666969299}]",neutral,1
107, wow my life on the pasion of the public and in accordinancd with cdc guidelines we have a title,,"[{'label': 'surprise', 'score': 0.6025164723396301}]",surprise,1
108,planning to reopen your building or increase building usage following reduced operation be sure to follow cdc guidelines to ensure the water quality is safe visit to learn more or contact us at dwmconnect ,lockdown,"[{'label': 'caring', 'score': 0.9214105010032654}]",caring,1
109,rochelle walensky is relaxing guidelines so she can act like william wallace in braveheart yelling freedom now more kids are getting sick and the cdc barely says a word about the risk for those of us who are vaccinated but immunocompromised the needs to clean house,vaccination,"[{'label': 'neutral', 'score': 0.6927791833877563}]",neutral,1
110,this quarantine has been immensely frustrating in many ways but by far the most frustrating is the lack of communication on when i am able to end self isolating dcs government website has multiple contradictory guidelines those are seperate amp different than the cdc or oap,lockdown,"[{'label': 'anger', 'score': 0.5424301028251648}]",anger,1
111,what country you prefer phs vaccine should come from why (asa ang inyuha pilion na ug ngano) ,vaccination,"[{'label': 'curiosity', 'score': 0.9568035006523132}]",curiosity,0
112,looks like were within weeks of reversing the guidelines and that almost every doctor and epidemiologists was saying that the cdc guidelines were prematurely issued in may they were correct and theyll further damage their credibility,masking and distancing,"[{'label': 'realization', 'score': 0.9456731677055359}]",realization,1
113,i love them saying to go beyond cdc instead of what they are doing which is going against cdc guidelines ,masking and distancing,"[{'label': 'love', 'score': 0.9805442690849304}]",love,0
114,i am supposed to take you serious virtue signal checklist woke avatar abused animal in mask counter to cdc guidelines ,masking and distancing,"[{'label': 'curiosity', 'score': 0.8602996468544006}]",curiosity,0
115,state officials have said they will follow cdc guidelines as washington prepares to reopen ,masking and distancing,"[{'label': 'neutral', 'score': 0.8462583422660828}]",neutral,0
116,"russia has annouced first putin daughter inoculated
says rigorous safety data review needed... ",vaccination,"[{'label': 'neutral', 'score': 0.9967278242111206}]",neutral,0
117,fox kerry spotted violating cdc guidelines at airport  and it is not the first time he is almost as ugly as he is hypocritical,masking and distancing,"[{'label': 'disgust', 'score': 0.9137618541717529}]",disgust,1
118,every graph i have seen from cdc nih hhs amp nida shows that they were tracking fentanyl/carfentanyl od deaths long before the cdc guidelines were put out frieden/prop knowingly screwed us,masking and distancing,"[{'label': 'neutral', 'score': 0.9863913059234619}]",neutral,0
119,clinical research is real as exemplified by exclusion of older adults from all sorts of trials in... ,vaccination,"[{'label': 'neutral', 'score': 0.8588883876800537}]",neutral,0
120,i follow cdc and local guidelines and happily wear a mask when required because i believe in science,masking and distancing,"[{'label': 'joy', 'score': 0.8018927574157715}]",joy,0
121,with limited covid vaccine doses who would get them first via ,vaccination,"[{'label': 'neutral', 'score': 0.6827055811882019}]",neutral,0
122, first vaccine volunteers enter key week covishield is being jointly developed by oxford university amp... ,vaccination,"[{'label': 'neutral', 'score': 0.9243443608283997}]",neutral,0
123,then he can wear a mask the entire time he is in an indoor stadium locker room press room etc that is the cdc guidelines and the amp should ensure he adheres to those guidelines the entire time for the safety of those unfortunate enough to be around him,masking and distancing,"[{'label': 'neutral', 'score': 0.5440171360969543}]",neutral,1
124,amazing they make a turn towards the factual truth but they justify why people are confused is because cdc guidelines changed overtime smh ,masking and distancing,"[{'label': 'admiration', 'score': 0.9916079044342041}]",admiration,0
125,the worlds largest maker warns it will take until for everyone across the globe to get vaccinated for... ,vaccination,"[{'label': 'realization', 'score': 0.5271918177604675}]",realization,0
126,some () in twitterland have seen good effects of mask wearing eg lack of flu season those with immune/cancers etc so er usual some people are governed by the cdc and adapt those guidelines (in a positive way) to their own personal circumstances agree,masking and distancing,"[{'label': 'approval', 'score': 0.9934398531913757}]",approval,1
127,draft landscape of list of approved vaccines by who astrazeneca moderna pfizer are on phase of trials india... ,vaccination,"[{'label': 'neutral', 'score': 0.9495588541030884}]",neutral,0
128,what do you want your facemask to do ,masking and distancing,"[{'label': 'curiosity', 'score': 0.9440552592277527}]",curiosity,0
129,developing a covid vaccine is hard getting people to use it will be too via ,vaccination,"[{'label': 'disappointment', 'score': 0.5860762596130371}]",disappointment,0
130,cdc is a general strategy but states still do things differently emergency management is local regional state then fed or in this case israel decisions are made at the local level for containment regardless of cdc guidelines they are just guidelines,masking and distancing,"[{'label': 'neutral', 'score': 0.9326854348182678}]",neutral,1
131,reporter tries to put words in mouth ... trying to make him sound like the arbiter of ,vaccination,"[{'label': 'neutral', 'score': 0.9967997074127197}]",neutral,0
132, when will a vaccine be ready for covid ,vaccination,"[{'label': 'curiosity', 'score': 0.9621371030807495}]",curiosity,0
133,please help the chronic pain patient community as well the false narrative of opiate epidemic is literally killing us illicit drugs and pressed pills causing it not prescribed meds pa needs to remove cpp from cdc guidelines opiates work well/taken correctly/stored correctly,vaccination,"[{'label': 'caring', 'score': 0.9727985262870789}]",caring,1
134,wait if russia is claiming the first with just a phase testing doesnt that mean oxford and modern... ,vaccination,"[{'label': 'neutral', 'score': 0.9742339253425598}]",neutral,0
135,as an rn i have always been an advocate for vaccines but for the first time in my life i can boldly say that i wi... ,vaccination,"[{'label': 'neutral', 'score': 0.4064105153083801}]",neutral,0
136,lol its funny how trump is using the covid vaccine as his momentum to win the reelection i honestly just hope th... ,vaccination,"[{'label': 'amusement', 'score': 0.954595148563385}]",amusement,0
137,cdc guidelines rules laws do not apply to democrats just like pelosi and the rest,masking and distancing,"[{'label': 'neutral', 'score': 0.9916077852249146}]",neutral,0
138,dmregister: a federal appeals court panel sided with the cdc in its legal battle with florida over covid guidelines for cruise lines ,vaccination,"[{'label': 'neutral', 'score': 0.9290348887443542}]",neutral,0
139,"corona update in india
total confirmed:m
active cases:m
total recovered: m
total deaths:
updated at:... ",,"[{'label': 'neutral', 'score': 0.9930617213249207}]",neutral,0
140,what is your beef with him anyway he is not the head of the cdc and that is the agency that sets the guidelines there are other docs out there too the say a lot worse is ahead,vaccination,"[{'label': 'annoyance', 'score': 0.7575017809867859}]",annoyance,1
141," the tragedy of vaccine nationalism only cooperation can end the pandemic | foreign affairs
",vaccination,"[{'label': 'approval', 'score': 0.513073742389679}]",approval,0
142,the cdc changed its testing guidelines long before the baseball postseason ie the cdc advises against testing vaccinated persons and yet the ncaa is still using protocols why /,vaccination,"[{'label': 'confusion', 'score': 0.9176741242408752}]",confusion,1
143,missouri gov mike parson calls the cdcs decision totally ridiculous but an agency official says guidelines limit size of incentives ,masking and distancing,"[{'label': 'annoyance', 'score': 0.9507948160171509}]",annoyance,0
144,healthcare workers likely to be first in line for coronavirus vaccination ,vaccination,"[{'label': 'neutral', 'score': 0.9804287552833557}]",neutral,0
145,throughout the pandemic nemacolin has exceeded cdc and commonwealth guidelines and mandates for the hospitality industry at this time anyone at nemacolin is welcome to wear a mask if they desire and you you will still see many of our spa associates doing so,masking and distancing,"[{'label': 'approval', 'score': 0.9535341262817383}]",approval,1
146,what is it like to be a developer in these rapidly evolving modern time come by the first inperson tonight in quite awhile (observing cdc and state guidelines for public gatherings) ,masking and distancing,"[{'label': 'curiosity', 'score': 0.9760380983352661}]",curiosity,1
147,with growing uncertainty over work wages and wellbeing in the wake of the global pandemic novel coronavirus covid... ,lockdown,"[{'label': 'realization', 'score': 0.7998147010803223}]",realization,0
148,cdc relaxes covid guidelines vaxxed teachers staff and students no longer need to wear masks inside school buildings ,vaccination,"[{'label': 'neutral', 'score': 0.970149040222168}]",neutral,0
149,this article from the nbaa not the cdc is from february th guidelines have been updated quite a bit since then regarding vaccinated travelers but good try with your misleading post there,vaccination,"[{'label': 'neutral', 'score': 0.550682544708252}]",neutral,1
150,covid warriors will first ones to get vaccine dose announces mos health ,vaccination,"[{'label': 'neutral', 'score': 0.983384370803833}]",neutral,0
151, are going to have to get a lot more vocal about this season  its estimated that / of ame... ,vaccination,"[{'label': 'neutral', 'score': 0.48420318961143494}]",neutral,0
152, phase coming soon big brother is healthy alive and well  ,vaccination,"[{'label': 'neutral', 'score': 0.8416714668273926}]",neutral,0
153,namely when the cdc released their updated guidelines for summer camps for the cdc had said that masks were not necessary outside ,masking and distancing,"[{'label': 'neutral', 'score': 0.9910783171653748}]",neutral,1
154,the guidelines their misapplication have given rise to a very harmful practices in the field for a child that had or the belief that in midst of flare essential oils or breathing is the answer vs medications bc of the concern of /,vaccination,"[{'label': 'fear', 'score': 0.32433733344078064}]",fear,1
155,vaccinated teachers and students do not need to wear masks inside school buildings the cdc said friday in relaxing its covid guidelines ,masking and distancing,"[{'label': 'approval', 'score': 0.5447798371315002}]",approval,1
156,join us for our eighth annual pratham raleighrtp k run/walk on sunday sept : all inperson events will follow lawfully required covid health and safety protocols and adhere to cdc guidelines ,masking and distancing,"[{'label': 'approval', 'score': 0.9679209589958191}]",approval,0
157,report from an employee at bickford of oswego in oswego il on mar : the employer has not implemented the cdc guidelines to address the covid pandemic the employer failed to provide ,masking and distancing,"[{'label': 'disappointment', 'score': 0.7639801502227783}]",disappointment,1
158,if vaccine is free for bihar then other states people has to pay for vaccine ,vaccination,"[{'label': 'neutral', 'score': 0.9573286771774292}]",neutral,0
159,so finally russia has officially announced about the st covid vaccine make sure next time me syllabus jitne bhi... ,vaccination,"[{'label': 'excitement', 'score': 0.5030824542045593}]",excitement,0
160,dog trapped between concrete walls days hiking dog rescues on the rise service dog stuck in honduras due to cdc guidelines todays video dog rescued after lost at sea daily k news + videos ,lockdown,"[{'label': 'neutral', 'score': 0.9929735660552979}]",neutral,0
161,biden admin to move $m in covid funds to house illegal immigrant children cdc guidelines require the agency to quarantine children upon receiving them ,masking and distancing,"[{'label': 'neutral', 'score': 0.9886941313743591}]",neutral,1
162,with the different provincial approaches to fully vaccinated people it is time for the federal government to establish national guidelines for consistency across the country much like the cdc did in the us a number of months ago time to step up do your job,vaccination,"[{'label': 'realization', 'score': 0.8267561197280884}]",realization,1
163,we must demand all of these super spreaders get put on the no fly list for breaking cdc and tsa guidelines any average person would be,masking and distancing,"[{'label': 'neutral', 'score': 0.5603285431861877}]",neutral,0
164,more people of color needed in covid vaccine trials via ,vaccination,"[{'label': 'approval', 'score': 0.6247488856315613}]",approval,0
165, trump was right ,,"[{'label': 'neutral', 'score': 0.9971200227737427}]",neutral,0
166,hva er rett i essu a sem eg se rangt i essu er oftast ef eg ber saman vi cdc guidelines ,masking and distancing,"[{'label': 'neutral', 'score': 0.9885023832321167}]",neutral,0
167,turned off i was absolutely offended by trump that didnt influence my decision to comply with cdc guidelines when he was in office i dont need a politician to inform my personal health i have seen no evidence of anyone not getting a vaccine because kamala scared them,vaccination,"[{'label': 'fear', 'score': 0.4531460106372833}]",fear,1
168,idph adopting updated cdc guidelines: schools to be fully open unvaccinated students should wear masks ,vaccination,"[{'label': 'neutral', 'score': 0.9189942479133606}]",neutral,0
169, inactivated vaccine ( seems a safe candidate that generates immune response here latest article... ,vaccination,"[{'label': 'approval', 'score': 0.6799175143241882}]",approval,0
170,russian covid vaccine not in advanced test stages: who ,vaccination,"[{'label': 'neutral', 'score': 0.9973782300949097}]",neutral,0
171,studies show morphine milligram equivalent (mme) used in cdc opioid guidelines are both bogus and unscientific: they must be repudiated and withdrawn ,vaccination,"[{'label': 'neutral', 'score': 0.9974797368049622}]",neutral,0
172,serum institute (denies rumours of availability of in days read here... ,vaccination,"[{'label': 'neutral', 'score': 0.9912610650062561}]",neutral,0
173,you should attend some school board meetings here in pennsyltucky parents are screaming and pulling their kids out because the boards are saying they will follow cdc guidelines about masks and they are literally losing their flipping minds,masking and distancing,"[{'label': 'neutral', 'score': 0.7873575091362}]",neutral,1
